Country,ISO2,ISO3,Indicator,Series,Variable,Model,Scenarios,Unit,Source,CTS Name,CTS Code,CTS Full Descriptor,2020,2025,2030,2035,2040,2045,2050
Honduras,HN,HND,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.92897,25.14318,25.38286,25.54295,25.63599,25.70027,25.75323
Honduras,HN,HND,Transition Pathways,Surface temperature,95th percentile,REMIND-MAgPIE,Below 2°C,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.90966445,25.1332421,25.30224912,25.49749745,25.65814981,25.77141055,25.87292584
Honduras,HN,HND,Transition Pathways,Surface temperature,95th percentile,REMIND-MAgPIE,Current Policies (Hot house world scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.90966445,25.12637215,25.29232358,25.51156834,25.70664971,25.9206312,26.15639632
Honduras,HN,HND,Transition Pathways,Surface temperature,95th percentile,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.90966445,25.12637215,25.29232358,25.49479367,25.69490024,25.82146147,25.91678546
Honduras,HN,HND,Transition Pathways,Surface temperature,95th percentile,REMIND-MAgPIE,Fragmented World,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.90966445,25.12637215,25.29232358,25.50852879,25.70505229,25.89732868,26.08040377
Honduras,HN,HND,Transition Pathways,Surface temperature,95th percentile,REMIND-MAgPIE,Low Demand,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.90966445,25.13443293,25.30747215,25.44844418,25.51318145,25.5082281,25.50010497
Honduras,HN,HND,Transition Pathways,Surface temperature,95th percentile,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.90966445,25.12415865,25.2954321,25.50767722,25.68928858,25.84368525,26.00463991
Honduras,HN,HND,Transition Pathways,Surface temperature,95th percentile,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.90966445,25.13618689,25.30854808,25.47516687,25.56832674,25.60873161,25.65331077
Honduras,HN,HND,Transition Pathways,Emissions and CCS,Bioenergy with CCS,GCAM,Below 2°C,Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0,0.0162,0.2908,1.0682,1.373,1.5015
Honduras,HN,HND,Transition Pathways,Emissions and CCS,Bioenergy with CCS,GCAM,Current Policies (Hot house world scenario),Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0,0.0014,0.0112,0.0415,0.0664,0.0833
Honduras,HN,HND,Transition Pathways,Emissions and CCS,Bioenergy with CCS,GCAM,Delayed Transition (Disorderly scenario),Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0,0.0014,0.0342,0.2008,0.2126,0.225
Honduras,HN,HND,Transition Pathways,Emissions and CCS,Bioenergy with CCS,GCAM,Fragmented World,Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0,0.0014,0.0104,0.0257,0.0169,0.0073
Honduras,HN,HND,Transition Pathways,Emissions and CCS,Bioenergy with CCS,GCAM,Low Demand,Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0,0.0331,1.3143,2.6699,2.6997,5.0559
Honduras,HN,HND,Transition Pathways,Emissions and CCS,Bioenergy with CCS,GCAM,Nationally Determined Contributions (NDCs),Mt CO2/yr,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0,0.0,0.0011,0.011,0.046,0.0852,0.1347
